Company Name,Industry,Rating,Highly rated,Critically_rated,Founded Year,Global Count,India Count
Ambuja Cements,Building Material ,3.9,Promotions / Appraisal,Promotions / Appraisal,1983 (41 yrs old),5k-10k,5k-10k
Aavas Financiers,Financial Services ,3.9,,Promotions / Appraisal,2011 (13 yrs old),5k-10k,5k-10k
Bharat Financial Inclusion,NBFC ,4.0,"Salary & Benefits, Job Security, Company Culture",Promotions / Appraisal,1998 (26 yrs old),10k-50k,10k-50k
Sopra Steria,IT Services & Consulting ,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,,,
Cisco,Hardware & Networking ,4.3,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,1984 (40 yrs old),10k-50k,10k-50k
Canara HSBC Life Insurance,Insurance ,3.7,,Promotions / Appraisal,2008 (16 yrs old),5k-10k,5k-10k
Bharti AXA Life Insurance,Insurance ,3.9,Work Life Balance,Promotions / Appraisal,2006 (18 yrs old),1k-5k,1k-5k
Endurance Technologies,Auto Components ,3.9,Promotions / Appraisal,Promotions / Appraisal,1985 (39 yrs old),1k-5k,1k-5k
Shahi Exports,Fashion & Textile ,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,1974 (50 yrs old),1 Lakh+,1 Lakh+
IntouchCX,BPO ,3.0,"Promotions / Appraisal, Job Security, Work Satisfaction","Promotions / Appraisal, Job Security, Work Satisfaction",,,
Intellect Design Arena,FinTech ,4.1,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security, Work Satisfaction",2011 (13 yrs old),5k-10k,5k-10k
GVK Emergency Management and Research Institute,Non-Profit ,3.7,"Promotions / Appraisal, Job Security, Salary & Benefits","Promotions / Appraisal, Job Security, Salary & Benefits",2005 (19 yrs old),10k-50k,10k-50k
Kalyan Jewellers,Jewellery ,4.7,"Company Culture, Skill Development / Learning, Salary & Benefits","Promotions / Appraisal, Job Security, Salary & Benefits",1993 (31 yrs old),5k-10k,5k-10k
DBS Bank,Banking ,3.9,"Salary & Benefits, Job Security","Promotions / Appraisal, Job Security, Salary & Benefits",1968 (56 yrs old),10k-50k,5k-10k
Force Motors,Automobile ,3.6,"Promotions / Appraisal, Company Culture, Salary & Benefits","Promotions / Appraisal, Company Culture, Salary & Benefits",1958 (66 yrs old),1k-5k,1k-5k
Dhani Loans and Services,NBFC ,3.9,"Job Security, Promotions / Appraisal","Job Security, Promotions / Appraisal",1k-5k,,
RMSI,IT Services & Consulting ,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",1992 (32 yrs old),1k-5k,1k-5k
Poonawalla Fincorp,NBFC ,3.8,"Promotions / Appraisal, Job Security","Promotions / Appraisal, Job Security",1989 (35 yrs old),5k-10k,5k-10k
Bureau Veritas,Other ,4.0,"Work Life Balance, Job Security",Promotions / Appraisal,1828 (196 yrs old),50k-1 Lakh,1k-5k
Allsec Technologies,BPO ,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,2000 (24 yrs old),1k-5k,1k-5k
Straive,Analytics & KPO ,3.5,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1980 (44 yrs old),10k-50k,10k-50k
KIA MOTORS,Automobile ,3.9,Promotions / Appraisal,Promotions / Appraisal,1944 (80 yrs old),1k-5k,1k-5k
Lodha Group,Real Estate ,4.1,"Skill Development / Learning, Company Culture, Salary & Benefits",Promotions / Appraisal,1980 (44 yrs old),5k-10k,5k-10k
Star Health & Allied Insurance,Insurance ,3.8,Promotions / Appraisal,Promotions / Appraisal,2006 (18 yrs old),10k-50k,10k-50k
CAMS,IT Services & Consulting ,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",1988 (36 yrs old),5k-10k,5k-10k
Delphi TVS,Auto Components ,4.0,"Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,1989 (35 yrs old),1k-5k,1k-5k
ITC Hotels,Hospitality ,4.1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1975 (49 yrs old),5k-10k,5k-10k
Brakes India,Auto Components ,4.0,"Skill Development / Learning, Job Security, Work Satisfaction",Promotions / Appraisal,1962 (62 yrs old),501-1k,501-1k
KENT RO Systems,Consumer Electronics & Appliances ,4.0,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal,1999 (25 yrs old),1k-5k,1k-5k
Tata Teleservices,Telecom ,4.0,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,1996 (28 yrs old),201-500,201-500
Hero FinCorp,NBFC ,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,1991 (33 yrs old),1k-5k,1k-5k
ESAF Microfinance & Investments (P),Financial Services ,3.9,Job Security,Promotions / Appraisal,,,
