Company Name,Industry,Rating,Highly rated,Critically_rated,Founded Year,Global Count,India Count,Years old
Cisco,Hardware & Networking ,4.3,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,1984,100000,100000,40
Canara HSBC Life Insurance,Insurance ,3.7,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,2008,100000,100000,16
Bharti AXA Life Insurance,Insurance ,3.9,Work Life Balance,Promotions / Appraisal,2006,100000,100000,18
Endurance Technologies,Auto Components ,3.9,Promotions / Appraisal,Promotions / Appraisal,1985,100000,100000,39
Shahi Exports,Fashion & Textile ,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,1974,100000,100000,50
IntouchCX,BPO ,3.0,"Promotions / Appraisal, Job Security, Work Satisfaction","Promotions / Appraisal, Job Security, Work Satisfaction",1974,100000,100000,50
Intellect Design Arena,FinTech ,4.1,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security, Work Satisfaction",2011,100000,100000,13
GVK Emergency Management and Research Institute,Non-Profit ,3.7,"Promotions / Appraisal, Job Security, Salary & Benefits","Promotions / Appraisal, Job Security, Salary & Benefits",2005,100000,100000,19
Kalyan Jewellers,Jewellery ,4.7,"Company Culture, Skill Development / Learning, Salary & Benefits","Promotions / Appraisal, Job Security, Salary & Benefits",1993,100000,100000,31
DBS Bank,Banking ,3.9,"Salary & Benefits, Job Security","Promotions / Appraisal, Job Security, Salary & Benefits",1968,100000,100000,56
Force Motors,Automobile ,3.6,"Promotions / Appraisal, Company Culture, Salary & Benefits","Promotions / Appraisal, Company Culture, Salary & Benefits",1958,100000,100000,66
RMSI,IT Services & Consulting ,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",1992,100000,100000,32
Poonawalla Fincorp,NBFC ,3.8,"Promotions / Appraisal, Job Security","Promotions / Appraisal, Job Security",1989,100000,100000,35
Bureau Veritas,Other ,4.0,"Work Life Balance, Job Security",Promotions / Appraisal,1828,100000,100000,196
Allsec Technologies,BPO ,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,2000,100000,100000,24
Straive,Analytics & KPO ,3.5,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1980,100000,100000,44
KIA MOTORS,Automobile ,3.9,Promotions / Appraisal,Promotions / Appraisal,1944,100000,100000,80
